Commit SHA,Java File,Old function signature,New function signature
4ce6b64dce73e030ce6ce2f8cc73e69023025e0d,LoggingApplicationContextInitializer.java,public void initialize(SpringApplication springApplication) {,"public void initialize(SpringApplication springApplication, String[] args) {"
87b0cea6f6da71b2671a0f5dc6fd9147101e072d,ConfigFileApplicationContextInitializer.java,public void initialize(SpringApplication springApplication) {,"public void initialize(SpringApplication springApplication, String[] args) {"
87b0cea6f6da71b2671a0f5dc6fd9147101e072d,LoggingApplicationContextInitializer.java,public void initialize(SpringApplication springApplication) {,"public void initialize(SpringApplication springApplication, String[] args) {"
2b54b6286f5fc5ffb1b9b83c9aad4f44402fdd62,DataSourceAutoConfiguration.java,private String getDriverClassName(Environment environment) {,"private String getDriverClassName(Environment environment, ClassLoader classLoader) {"
2b54b6286f5fc5ffb1b9b83c9aad4f44402fdd62,DataSourceAutoConfiguration.java,private String getUrl(Environment environment) {,"private String getUrl(Environment environment, ClassLoader classLoader) {"
a70d293c875430941b618e79df584aee61f3397a,LaunchHelper.java,public void launch(String[] args) {,"public void launch(String[] args, String mainClass, List<Archive> lib)"
126fedc14a7216fefde02d8eba264c35851b3edc,CrshAutoConfiguration.java,"protected FS createFileSystem(String[] pathPatterns) throws IOException,","protected FS createFileSystem(String[] pathPatterns, String[] filterPatterns)"
ccfc47091cec689ecc6475715854750d4a58670b,ExplodedArchive.java,private void buildEntries(File file) {,"private void buildEntries(File file, boolean recursive) {"
f9566ed30f1e800d1c7638b3fe8fbafb294a7d6f,LoggingSystem.java,public static LoggingSystem get(ClassLoader classLoader) {,"public static LoggingSystem get(ClassLoader classLoader, boolean fileOutput, boolean consoleOutput) {"
cf24af0bfbfdd778bfb076947ea6f012a88f372d,LogbackLoggingSystem.java,public void initialize(String configLocation) {,"public void initialize(String configLocation, String logFile) {"
8f488bd01962990f69ced2d68bfe04b629689f17,InitializrServiceMetadata.java,private ProjectType parseType(JSONObject object) {,"private ProjectType parseType(JSONObject object, String defaultId) {"
dbcbebca4ab3b31d59d9f4437fb432503a273c77,DelegateTestRunner.java,public static void run(Class<?>[] testClasses) {,"public static void run(Class<?>[] testClasses, Result result) {"
2b9147128674fbf557c52e0a729ed3e3a4e02278,ResourceBanner.java,private String getVersionString(String version) {,"private String getVersionString(String version, boolean format) {"
978cf8c2e61d846dc43ba98a268a610cde471972,MergedContextConfigurationProperties.java,public void add(String[] properties) {,"public void add(String[] properties, String... additional) {"
1f40c8a9ba436b501d00900f0d7bd458885853ae,ActiveMQAutoConfigurationTests.java,private void load(Class<?> config) {,"private void load(Class<?> config, String... environment) {"
793481843cd93368359df2d3568bfed0410d068e,Verify.java,"public static void verifyJar(File file, String main) throws Exception {","public static void verifyJar(File file, String main, String... scriptContents)"
