Commit SHA,Java File,Old function signature,New function signature
8740b702f931aae59c7b65c481fd7874756de7c9,ReflectionUtils.java,"public final static Field findField(String name, Class<?> clazz) {","public final static Field findField(String name, Class<?> clazz, boolean mustBeStatic) {"
8740b702f931aae59c7b65c481fd7874756de7c9,ReflectionUtils.java,"public static Method findGetterForProperty(String propertyName, Class<?> clazz) {","public static Method findGetterForProperty(String propertyName, Class<?> clazz, boolean mustBeStatic) {"
8740b702f931aae59c7b65c481fd7874756de7c9,ReflectionUtils.java,"public static Method findSetterForProperty(String propertyName, Class<?> clazz) {","public static Method findSetterForProperty(String propertyName, Class<?> clazz, boolean mustBeStatic) {"
90ef7649c21bba154d877266fa8618e5de1bb641,AntPathMatcher.java,"protected boolean doMatch(String pattern, String path, boolean fullMatch) {","protected boolean doMatch(String pattern, String path, boolean fullMatch, Map<String, String> uriTemplateVariables) {"
90ef7649c21bba154d877266fa8618e5de1bb641,AntPathMatcher.java,"private boolean matchStrings(String pattern, String str) {","private boolean matchStrings(String pattern, String str, Map<String, String> uriTemplateVariables) {"
fc06f9ba72514dca3ab1741a66775f88afa6f09d,Jaxb2Marshaller.java,"public void marshal(Object graph, Result result) throws XmlMappingException {","public void marshal(Object graph, Result result, MimeContainer mimeContainer) throws XmlMappingException {"
fc06f9ba72514dca3ab1741a66775f88afa6f09d,Jaxb2Marshaller.java,public Object unmarshal(Source source) throws XmlMappingException {,"public Object unmarshal(Source source, MimeContainer mimeContainer) throws XmlMappingException {"
f0415306d58f105285f35a07f5506021ed965123,MockHttpServletResponse.java,public void sendError(int status) throws IOException {,"public void sendError(int status, String errorMessage) throws IOException {"
f0415306d58f105285f35a07f5506021ed965123,MockHttpServletResponse.java,public void setStatus(int status) {,"public void setStatus(int status, String errorMessage) {"
f0415306d58f105285f35a07f5506021ed965123,MockServletContext.java,public void log(String message) {,"public void log(String message, Throwable ex) {"
9dec670be4532299925f067e676a7ee680a073fc,MockHttpServletResponse.java,public void sendError(int status) throws IOException {,"public void sendError(int status, String errorMessage) throws IOException {"
